"id","t","n","r","rob","indirectness"
"Gross2011","CBT-I",20,9,"L",1
"Gross2011","Pharmacotherapy",10,4,"L",1
"Jacobs2004","CBT-I",15,3,"H",1
"Jacobs2004","Combination",18,4,"H",1
"Morin1999","CBT-I",18,8,"M",1
"Morin1999","Combination",20,4,"M",1
"Morin1999","Pharmacotherapy",20,2,"M",1
"Morin2009","CBT-I",80,28,"M",1
"Morin2009","Combination",80,32,"M",1
"Morin2020","CBT-I",104,61,"L",1
"Morin2020","Pharmacotherapy",107,55,"L",1
"Siversten2006","CBT-I",18,8,"H",1
"Siversten2006","Pharmacotherapy",18,3,"H",1
"Vallieres2005","CBT-I",6,2,"M",1
"Vallieres2005","Combination",5,1,"M",1
"Vallieres2005","Pharmacotherapy",6,2,"M",1
"Vgotzas2020","CBT-I",12,7,"M",1
"Vgotzas2020","Pharmacotherapy",12,5,"M",1
"Wu2006","CBT-I",19,9,"H",1
"Wu2006","Combination",19,6,"H",1
"Wu2006","Pharmacotherapy",20,2,"H",1
